// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 1 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// ***** Done, took 00:00:00 (0.22 sec)   *****
// Found 1 benchmarks:
//   MutexBenchmark.StartThreads: Job-LWJHUO(Toolchain=InProcessEmitToolchain, InvocationCount=1, UnrollFactor=1)

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: MutexBenchmark.StartThreads: Job-LWJHUO(Toolchain=InProcessEmitToolchain, InvocationCount=1, UnrollFactor=1)
// *** Execute ***
// Launch: 1 / 1

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.6 (CoreCLR 4.6.27817.03, CoreFX 4.6.27818.02), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: Job-LWJHUO(Toolchain=InProcessEmitToolchain, InvocationCount=1, UnrollFactor=1)

WorkloadActual  43: 1 op, 403587700.00 ns, 403.5877 ms/op
WorkloadActual  44: 1 op, 403504800.00 ns, 403.5048 ms/op
WorkloadActual  45: 1 op, 404111500.00 ns, 404.1115 ms/op
WorkloadActual  46: 1 op, 402769700.00 ns, 402.7697 ms/op
WorkloadActual  47: 1 op, 403458300.00 ns, 403.4583 ms/op
WorkloadActual  48: 1 op, 403664400.00 ns, 403.6644 ms/op
WorkloadActual  49: 1 op, 502917300.00 ns, 502.9173 ms/op
WorkloadActual  50: 1 op, 402416200.00 ns, 402.4162 ms/op
WorkloadActual  51: 1 op, 402632800.00 ns, 402.6328 ms/op
WorkloadActual  52: 1 op, 402805500.00 ns, 402.8055 ms/op
WorkloadActual  53: 1 op, 402954100.00 ns, 402.9541 ms/op
WorkloadActual  54: 1 op, 403433800.00 ns, 403.4338 ms/op
WorkloadActual  55: 1 op, 402382100.00 ns, 402.3821 ms/op
WorkloadActual  56: 1 op, 403254400.00 ns, 403.2544 ms/op
WorkloadActual  57: 1 op, 503914900.00 ns, 503.9149 ms/op
WorkloadActual  58: 1 op, 404249400.00 ns, 404.2494 ms/op
WorkloadActual  59: 1 op, 504114700.00 ns, 504.1147 ms/op
WorkloadActual  60: 1 op, 402439500.00 ns, 402.4395 ms/op
WorkloadActual  61: 1 op, 503286700.00 ns, 503.2867 ms/op
WorkloadActual  62: 1 op, 502995500.00 ns, 502.9955 ms/op
WorkloadActual  63: 1 op, 403325400.00 ns, 403.3254 ms/op
WorkloadActual  64: 1 op, 503035600.00 ns, 503.0356 ms/op
WorkloadActual  65: 1 op, 403376600.00 ns, 403.3766 ms/op
WorkloadActual  66: 1 op, 504851100.00 ns, 504.8511 ms/op
WorkloadActual  67: 1 op, 402407900.00 ns, 402.4079 ms/op
WorkloadActual  68: 1 op, 404175300.00 ns, 404.1753 ms/op
WorkloadActual  69: 1 op, 403058500.00 ns, 403.0585 ms/op
WorkloadActual  70: 1 op, 404417200.00 ns, 404.4172 ms/op
WorkloadActual  71: 1 op, 503281800.00 ns, 503.2818 ms/op
WorkloadActual  72: 1 op, 403464800.00 ns, 403.4648 ms/op
WorkloadActual  73: 1 op, 504294800.00 ns, 504.2948 ms/op
WorkloadActual  74: 1 op, 503717900.00 ns, 503.7179 ms/op
