// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 3 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// ***** Done, took 00:00:00 (0.01 sec)   *****
// Found 3 benchmarks:
//   Perf_Environment.GetEnvironmentVariable: Job-KEPDVG(Toolchain=InProcessEmitToolchain)
//   Perf_Environment.ExpandEnvironmentVariables: Job-KEPDVG(Toolchain=InProcessEmitToolchain)
//   Perf_Environment.GetEnvironmentVariables: Job-KEPDVG(Toolchain=InProcessEmitToolchain)

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: Perf_Environment.GetEnvironmentVariable: Job-KEPDVG(Toolchain=InProcessEmitToolchain)
// *** Execute ***
// Launch: 1 / 1

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.6 (CoreCLR 4.6.27817.03, CoreFX 4.6.27818.02), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: Job-KEPDVG(Toolchain=InProcessEmitToolchain)

WorkloadResult   5: 4194304 op, 778162100.00 ns, 185.5283 ns/op
WorkloadResult   6: 4194304 op, 767269100.00 ns, 182.9312 ns/op
WorkloadResult   7: 4194304 op, 775290600.00 ns, 184.8437 ns/op
WorkloadResult   8: 4194304 op, 779125700.00 ns, 185.7580 ns/op
WorkloadResult   9: 4194304 op, 798745300.00 ns, 190.4357 ns/op
WorkloadResult  10: 4194304 op, 792172300.00 ns, 188.8686 ns/op
WorkloadResult  11: 4194304 op, 807259200.00 ns, 192.4656 ns/op
WorkloadResult  12: 4194304 op, 800805200.00 ns, 190.9268 ns/op
WorkloadResult  13: 4194304 op, 795711900.00 ns, 189.7125 ns/op
WorkloadResult  14: 4194304 op, 793146600.00 ns, 189.1009 ns/op
WorkloadResult  15: 4194304 op, 784217200.00 ns, 186.9720 ns/op
GC:  0 0 0 0 0


Mean = 187.0202 ns, StdErr = 0.7701 ns (0.41%); N = 15, StdDev = 2.9827 ns
Min = 182.9312 ns, Q1 = 184.6170 ns, Median = 185.7580 ns, Q3 = 189.7125 ns, Max = 192.4656 ns
IQR = 5.0955 ns, LowerFence = 176.9738 ns, UpperFence = 197.3557 ns
ConfidenceInterval = [183.8315 ns; 190.2089 ns] (CI 99.9%), Margin = 3.1887 ns (1.71% of Mean)
Skewness = 0.34, Kurtosis = 1.57, MValue = 2

// **************************
// Benchmark: Perf_Environment.ExpandEnvironmentVariables: Job-KEPDVG(Toolchain=InProcessEmitToolchain)
// *** Execute ***
// Launch: 1 / 1

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.6 (CoreCLR 4.6.27817.03, CoreFX 4.6.27818.02), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: Job-KEPDVG(Toolchain=InProcessEmitToolchain)

OverheadJitting  1: 1 op, 383100.00 ns, 383.1000 us/op
WorkloadJitting  1: 1 op, 792000.00 ns, 792.0000 us/op

OverheadJitting  2: 16 op, 1322900.00 ns, 82.6813 us/op
WorkloadJitting  2: 16 op, 1026800.00 ns, 64.1750 us/op

WorkloadPilot    1: 16 op, 37000.00 ns, 2.3125 us/op
WorkloadPilot    2: 32 op, 36100.00 ns, 1.1281 us/op
WorkloadPilot    3: 64 op, 22400.00 ns, 350.0000 ns/op
WorkloadPilot    4: 128 op, 40000.00 ns, 312.5000 ns/op
WorkloadPilot    5: 256 op, 68300.00 ns, 266.7969 ns/op
WorkloadPilot    6: 512 op, 135400.00 ns, 264.4531 ns/op
WorkloadPilot    7: 1024 op, 265600.00 ns, 259.3750 ns/op
WorkloadPilot    8: 2048 op, 516100.00 ns, 252.0020 ns/op
WorkloadPilot    9: 4096 op, 987600.00 ns, 241.1133 ns/op
WorkloadPilot   10: 8192 op, 2885300.00 ns, 352.2095 ns/op
WorkloadPilot   11: 16384 op, 4289100.00 ns, 261.7859 ns/op
WorkloadPilot   12: 32768 op, 7975800.00 ns, 243.4021 ns/op
WorkloadPilot   13: 65536 op, 17321800.00 ns, 264.3097 ns/op
WorkloadPilot   14: 131072 op, 35225100.00 ns, 268.7462 ns/op
WorkloadPilot   15: 262144 op, 65323400.00 ns, 249.1890 ns/op
WorkloadPilot   16: 524288 op, 132417900.00 ns, 252.5671 ns/op
WorkloadPilot   17: 1048576 op, 264783500.00 ns, 252.5172 ns/op
WorkloadPilot   18: 2097152 op, 598804200.00 ns, 285.5321 ns/op

OverheadWarmup   1: 2097152 op, 10712500.00 ns, 5.1081 ns/op
OverheadWarmup   2: 2097152 op, 11531400.00 ns, 5.4986 ns/op
OverheadWarmup   3: 2097152 op, 12140600.00 ns, 5.7891 ns/op
OverheadWarmup   4: 2097152 op, 10764500.00 ns, 5.1329 ns/op
OverheadWarmup   5: 2097152 op, 11674300.00 ns, 5.5667 ns/op
OverheadWarmup   6: 2097152 op, 12617400.00 ns, 6.0164 ns/op
OverheadWarmup   7: 2097152 op, 10826500.00 ns, 5.1625 ns/op

OverheadActual   1: 2097152 op, 20137500.00 ns, 9.6023 ns/op
OverheadActual   2: 2097152 op, 12435800.00 ns, 5.9299 ns/op
OverheadActual   3: 2097152 op, 13335100.00 ns, 6.3587 ns/op
OverheadActual   4: 2097152 op, 10228100.00 ns, 4.8771 ns/op
OverheadActual   5: 2097152 op, 10262800.00 ns, 4.8937 ns/op
OverheadActual   6: 2097152 op, 10550600.00 ns, 5.0309 ns/op
OverheadActual   7: 2097152 op, 9962300.00 ns, 4.7504 ns/op
OverheadActual   8: 2097152 op, 10537800.00 ns, 5.0248 ns/op
OverheadActual   9: 2097152 op, 11029700.00 ns, 5.2594 ns/op
OverheadActual  10: 2097152 op, 11246200.00 ns, 5.3626 ns/op
OverheadActual  11: 2097152 op, 12624900.00 ns, 6.0200 ns/op
OverheadActual  12: 2097152 op, 11539300.00 ns, 5.5024 ns/op
OverheadActual  13: 2097152 op, 10265700.00 ns, 4.8951 ns/op
OverheadActual  14: 2097152 op, 10332900.00 ns, 4.9271 ns/op
OverheadActual  15: 2097152 op, 10396900.00 ns, 4.9576 ns/op
OverheadActual  16: 2097152 op, 10791800.00 ns, 5.1459 ns/op
OverheadActual  17: 2097152 op, 10014800.00 ns, 4.7754 ns/op
OverheadActual  18: 2097152 op, 10674600.00 ns, 5.0900 ns/op
